['Date:20150108', 'Maturity:201501', 'Strike_price:8400', 'CallPut:call', 'close:855']
['Date:20150108', 'Maturity:201501', 'Strike_price:8500', 'CallPut:call', 'close:755']
['Date:20150108', 'Maturity:201501', 'Strike_price:8600', 'CallPut:call', 'close:655']
['Date:20150108', 'Maturity:201501', 'Strike_price:8700', 'CallPut:call', 'close:555']
['Date:20150108', 'Maturity:201501', 'Strike_price:8800', 'CallPut:call', 'close:456']
['Date:20150108', 'Maturity:201501', 'Strike_price:8900', 'CallPut:call', 'close:366']
['Date:20150108', 'Maturity:201501', 'Strike_price:9000', 'CallPut:call', 'close:276']
['Date:20150108', 'Maturity:201501', 'Strike_price:9100', 'CallPut:call', 'close:194']
['Date:20150108', 'Maturity:201501', 'Strike_price:9200', 'CallPut:call', 'close:122']
['Date:20150108', 'Maturity:201501', 'Strike_price:9300', 'CallPut:call', 'close:67']
['Date:20150108', 'Maturity:201501', 'Strike_price:9400', 'CallPut:call', 'close:29.5']
['Date:20150108', 'Maturity:201501', 'Strike_price:9500', 'CallPut:call', 'close:11']
['Date:20150108', 'Maturity:201501', 'Strike_price:9600', 'CallPut:call', 'close:3.9']
['Date:20150108', 'Maturity:201501', 'Strike_price:9700', 'CallPut:call', 'close:1.3']
['Date:20150108', 'Maturity:201502', 'Strike_price:7500', 'CallPut:call', 'close:1750']
['Date:20150108', 'Maturity:201502', 'Strike_price:7600', 'CallPut:call', 'close:1650']
['Date:20150108', 'Maturity:201502', 'Strike_price:7700', 'CallPut:call', 'close:1550']
['Date:20150108', 'Maturity:201502', 'Strike_price:7800', 'CallPut:call', 'close:1450']
['Date:20150108', 'Maturity:201502', 'Strike_price:7900', 'CallPut:call', 'close:1350']
['Date:20150108', 'Maturity:201502', 'Strike_price:8000', 'CallPut:call', 'close:1250']
['Date:20150108', 'Maturity:201502', 'Strike_price:8100', 'CallPut:call', 'close:1150']
['Date:20150108', 'Maturity:201502', 'Strike_price:8200', 'CallPut:call', 'close:1060']
['Date:20150108', 'Maturity:201502', 'Strike_price:8300', 'CallPut:call', 'close:960']
['Date:20150108', 'Maturity:201502', 'Strike_price:8400', 'CallPut:call', 'close:860']
['Date:20150108', 'Maturity:201502', 'Strike_price:8500', 'CallPut:call', 'close:765']
['Date:20150108', 'Maturity:201502', 'Strike_price:8600', 'CallPut:call', 'close:670']
['Date:20150108', 'Maturity:201502', 'Strike_price:8700', 'CallPut:call', 'close:570']
['Date:20150108', 'Maturity:201502', 'Strike_price:8800', 'CallPut:call', 'close:480']
['Date:20150108', 'Maturity:201502', 'Strike_price:8900', 'CallPut:call', 'close:396']
['Date:20150108', 'Maturity:201502', 'Strike_price:9000', 'CallPut:call', 'close:320']
['Date:20150108', 'Maturity:201502', 'Strike_price:9100', 'CallPut:call', 'close:254']
['Date:20150108', 'Maturity:201502', 'Strike_price:9200', 'CallPut:call', 'close:191']
